date,raw_value,z_score,trembling,direction,source_note,obs_date
2026-07-10,13.928,,0,,"GDELT full-day conflict share, 112712 events across 96 files (2026-07-09)",2026-07-09
2026-07-11,13.928,,0,,"GDELT full-day conflict share, 112712 events across 96 files (2026-07-09) [stale: observation already recorded]",2026-07-09
2026-07-12,14.77,,0,,"GDELT full-day conflict share, 105258 events across 96 files (2026-07-10)",2026-07-10
2026-07-13,14.687,,0,,"GDELT full-day conflict share, 68966 events across 96 files (2026-07-11)",2026-07-11
2026-07-14,15.452,,0,,"GDELT full-day conflict share, 59188 events across 96 files (2026-07-12)",2026-07-12
2026-07-15,14.649,,0,,"GDELT full-day conflict share, 104176 events across 96 files (2026-07-13)",2026-07-13
2026-07-16,14.67,,0,,"GDELT full-day conflict share, 113515 events across 96 files (2026-07-14)",2026-07-14
