date,raw_value,z_score,trembling,direction,source_note,obs_date,status
2021-09-24,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-09-24 [archive import: scored retroactively, not a live reading]",2021-09-24,scoring
2021-09-27,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-09-27 [archive import: scored retroactively, not a live reading]",2021-09-27,scoring
2021-09-28,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-09-28 [archive import: scored retroactively, not a live reading]",2021-09-28,scoring
2021-09-29,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-09-29 [archive import: scored retroactively, not a live reading]",2021-09-29,scoring
2021-09-30,1,0.000,0,up,"NY Fed SRF total accepted 1.0$m on 2021-09-30 [archive import: scored retroactively, not a live reading]",2021-09-30,scoring
2021-10-01,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-10-01 [archive import: scored retroactively, not a live reading]",2021-10-01,scoring
2021-10-04,1,0.000,0,up,"NY Fed SRF total accepted 1.0$m on 2021-10-04 [archive import: scored retroactively, not a live reading]",2021-10-04,scoring
2021-10-05,1,0.000,0,up,"NY Fed SRF total accepted 1.0$m on 2021-10-05 [archive import: scored retroactively, not a live reading]",2021-10-05,scoring
2021-10-06,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-10-06 [archive import: scored retroactively, not a live reading]",2021-10-06,scoring
2021-10-07,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-10-07 [archive import: scored retroactively, not a live reading]",2021-10-07,scoring
2021-10-08,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-10-08 [archive import: scored retroactively, not a live reading]",2021-10-08,scoring
2021-10-12,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-10-12 [archive import: scored retroactively, not a live reading]",2021-10-12,scoring
2021-10-13,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-10-13 [archive import: scored retroactively, not a live reading]",2021-10-13,scoring
2021-10-14,2,0.000,0,up,"NY Fed SRF total accepted 2.0$m on 2021-10-14 [archive import: scored retroactively, not a live reading]",2021-10-14,scoring
2021-10-15,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-10-15 [archive import: scored retroactively, not a live reading]",2021-10-15,scoring
2021-10-18,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-10-18 [archive import: scored retroactively, not a live reading]",2021-10-18,scoring
2021-10-19,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-10-19 [archive import: scored retroactively, not a live reading]",2021-10-19,scoring
2021-10-20,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-10-20 [archive import: scored retroactively, not a live reading]",2021-10-20,scoring
2021-10-21,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-10-21 [archive import: scored retroactively, not a live reading]",2021-10-21,scoring
2021-10-22,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-10-22 [archive import: scored retroactively, not a live reading]",2021-10-22,scoring
2021-10-25,3,0.000,0,up,"NY Fed SRF total accepted 3.0$m on 2021-10-25 [archive import: scored retroactively, not a live reading]",2021-10-25,scoring
2021-10-26,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-10-26 [archive import: scored retroactively, not a live reading]",2021-10-26,scoring
