date,raw_value,z_score,trembling,direction,source_note,obs_date,status
2026-08-14,158,1.655,0,up,Fingrid dataset 177 max |dev| over 1436 points (24h) [sampled 22:49:25Z],,scoring
2026-08-15,90,-1.084,0,down,Fingrid dataset 177 max |dev| over 1436 points (24h) [sampled 22:28:12Z],,scoring
2026-08-16,130,0.577,0,up,Fingrid dataset 177 max |dev| over 1437 points (24h) [sampled 22:26:43Z],,scoring
2026-08-17,83,-1.362,0,down,Fingrid dataset 177 max |dev| over 1437 points (24h) [sampled 22:26:33Z],,scoring
2026-08-18,143,1.076,0,up,Fingrid dataset 177 max |dev| over 1436 points (24h) [sampled 22:29:02Z],,scoring
2026-08-19,100,-0.679,0,down,Fingrid dataset 177 max |dev| over 1433 points (24h) [sampled 22:28:32Z],,scoring
2026-08-20,116,0.038,0,up,Fingrid dataset 177 max |dev| over 1436 points (24h) [sampled 22:28:51Z],,scoring
2026-08-21,125,0.379,0,up,Fingrid dataset 177 max |dev| over 1435 points (24h) [sampled 22:32:23Z],,scoring
2026-08-22,97,-0.729,0,down,Fingrid dataset 177 max |dev| over 1437 points (24h) [sampled 22:29:44Z],,scoring
2026-08-23,82,-1.333,0,down,Fingrid dataset 177 max |dev| over 1437 points (24h) [sampled 22:26:37Z],,scoring
2026-08-24,142.2,1.043,0,up,Fingrid dataset 177 max |dev| over 1435 points (24h) [sampled 22:26:39Z],,scoring
2026-08-25,86,-1.172,0,down,Fingrid dataset 177 max |dev| over 1438 points (24h) [sampled 22:31:21Z],,scoring
