date,raw_value,z_score,trembling,direction,source_note
2026-06-22,0.4254,,0,,GPSJam 2026-06-21: 14157/3328209 aircraft with bad GPS
2026-06-23,0.4254,,0,,GPSJam 2026-06-21: 14157/3328209 aircraft with bad GPS
2026-06-24,0.47,,0,,GPSJam 2026-06-22: 15774/3355985 aircraft with bad GPS
2026-06-25,0.4919,,0,,GPSJam 2026-06-23: 16405/3334988 aircraft with bad GPS
2026-06-26,0.415,,0,,GPSJam 2026-06-24: 14080/3392552 aircraft with bad GPS
2026-06-27,0.3688,,0,,GPSJam 2026-06-25: 12821/3476714 aircraft with bad GPS
2026-06-28,0.3753,,0,,GPSJam 2026-06-26: 13224/3523605 aircraft with bad GPS
2026-06-29,0.3635,,0,,GPSJam 2026-06-27: 12132/3337453 aircraft with bad GPS
2026-06-30,0.3396,,0,,GPSJam 2026-06-28: 11550/3401262 aircraft with bad GPS
