date,raw_value,z_score,trembling,direction,source_note,obs_date,status
2020-12-01,0,0.000,0,flat,"Bitstamp settled daily close, worst 0.0bp from $1 [archive import: scored retroactively, not a live reading]",2020-12-01,scoring
2020-12-02,0,0.000,0,flat,"Bitstamp settled daily close, worst 0.0bp from $1 [archive import: scored retroactively, not a live reading]",2020-12-02,scoring
2020-12-03,9.6,0.384,0,up,"Bitstamp settled daily close, worst 9.6bp from $1 [archive import: scored retroactively, not a live reading]",2020-12-03,scoring
2020-12-04,0,0.000,0,flat,"Bitstamp settled daily close, worst 0.0bp from $1 [archive import: scored retroactively, not a live reading]",2020-12-04,scoring
2020-12-05,0,0.000,0,flat,"Bitstamp settled daily close, worst 0.0bp from $1 [archive import: scored retroactively, not a live reading]",2020-12-05,scoring
2020-12-06,0,0.000,0,flat,"Bitstamp settled daily close, worst 0.0bp from $1 [archive import: scored retroactively, not a live reading]",2020-12-06,scoring
2020-12-07,0.3,0.012,0,up,"Bitstamp settled daily close, worst 0.3bp from $1 [archive import: scored retroactively, not a live reading]",2020-12-07,scoring
2020-12-08,0.3,0.012,0,up,"Bitstamp settled daily close, worst 0.3bp from $1 [archive import: scored retroactively, not a live reading]",2020-12-08,scoring
2020-12-09,1.6,0.064,0,up,"Bitstamp settled daily close, worst 1.6bp from $1 [archive import: scored retroactively, not a live reading]",2020-12-09,scoring
2020-12-10,0.1,0.004,0,up,"Bitstamp settled daily close, worst 0.1bp from $1 [archive import: scored retroactively, not a live reading]",2020-12-10,scoring
2020-12-11,0.2,0.008,0,up,"Bitstamp settled daily close, worst 0.2bp from $1 [archive import: scored retroactively, not a live reading]",2020-12-11,scoring
2020-12-12,0,0.000,0,flat,"Bitstamp settled daily close, worst 0.0bp from $1 [archive import: scored retroactively, not a live reading]",2020-12-12,scoring
2020-12-13,4.7,0.188,0,up,"Bitstamp settled daily close, worst 4.7bp from $1 [archive import: scored retroactively, not a live reading]",2020-12-13,scoring
2020-12-14,0.1,0.004,0,up,"Bitstamp settled daily close, worst 0.1bp from $1 [archive import: scored retroactively, not a live reading]",2020-12-14,scoring
2020-12-15,8.6,0.344,0,up,"Bitstamp settled daily close, worst 8.6bp from $1 [archive import: scored retroactively, not a live reading]",2020-12-15,scoring
2020-12-16,0.1,0.004,0,up,"Bitstamp settled daily close, worst 0.1bp from $1 [archive import: scored retroactively, not a live reading]",2020-12-16,scoring
2020-12-17,0,0.000,0,flat,"Bitstamp settled daily close, worst 0.0bp from $1 [archive import: scored retroactively, not a live reading]",2020-12-17,scoring
2020-12-18,0.1,0.004,0,up,"Bitstamp settled daily close, worst 0.1bp from $1 [archive import: scored retroactively, not a live reading]",2020-12-18,scoring
2020-12-19,4.4,0.176,0,up,"Bitstamp settled daily close, worst 4.4bp from $1 [archive import: scored retroactively, not a live reading]",2020-12-19,scoring
2020-12-20,1.2,0.048,0,up,"Bitstamp settled daily close, worst 1.2bp from $1 [archive import: scored retroactively, not a live reading]",2020-12-20,scoring
2020-12-21,0,0.000,0,flat,"Bitstamp settled daily close, worst 0.0bp from $1 [archive import: scored retroactively, not a live reading]",2020-12-21,scoring
2020-12-22,0,0.000,0,flat,"Bitstamp settled daily close, worst 0.0bp from $1 [archive import: scored retroactively, not a live reading]",2020-12-22,scoring
2020-12-23,0.1,0.004,0,up,"Bitstamp settled daily close, worst 0.1bp from $1 [archive import: scored retroactively, not a live reading]",2020-12-23,scoring
2020-12-24,0.1,0.004,0,up,"Bitstamp settled daily close, worst 0.1bp from $1 [archive import: scored retroactively, not a live reading]",2020-12-24,scoring
2020-12-25,3.1,0.124,0,up,"Bitstamp settled daily close, worst 3.1bp from $1 [archive import: scored retroactively, not a live reading]",2020-12-25,scoring
2020-12-26,3.9,0.156,0,up,"Bitstamp settled daily close, worst 3.9bp from $1 [archive import: scored retroactively, not a live reading]",2020-12-26,scoring
2020-12-27,1.9,0.076,0,up,"Bitstamp settled daily close, worst 1.9bp from $1 [archive import: scored retroactively, not a live reading]",2020-12-27,scoring
2020-12-28,0,0.000,0,flat,"Bitstamp settled daily close, worst 0.0bp from $1 [archive import: scored retroactively, not a live reading]",2020-12-28,scoring
2020-12-29,4,0.160,0,up,"Bitstamp settled daily close, worst 4.0bp from $1 [archive import: scored retroactively, not a live reading]",2020-12-29,scoring
2020-12-30,0,0.000,0,flat,"Bitstamp settled daily close, worst 0.0bp from $1 [archive import: scored retroactively, not a live reading]",2020-12-30,scoring
2020-12-31,0.6,0.024,0,up,"Bitstamp settled daily close, worst 0.6bp from $1 [archive import: scored retroactively, not a live reading]",2020-12-31,scoring
2021-01-01,1,0.040,0,up,"Bitstamp settled daily close, worst 1.0bp from $1 [archive import: scored retroactively, not a live reading]",2021-01-01,scoring
2021-01-02,1.1,0.044,0,up,"Bitstamp settled daily close, worst 1.1bp from $1 [archive import: scored retroactively, not a live reading]",2021-01-02,scoring
2021-01-03,7.2,0.288,0,up,"Bitstamp settled daily close, worst 7.2bp from $1 [archive import: scored retroactively, not a live reading]",2021-01-03,scoring
2021-01-04,5.4,0.216,0,up,"Bitstamp settled daily close, worst 5.4bp from $1 [archive import: scored retroactively, not a live reading]",2021-01-04,scoring
2021-01-05,0.7,0.028,0,up,"Bitstamp settled daily close, worst 0.7bp from $1 [archive import: scored retroactively, not a live reading]",2021-01-05,scoring
2021-01-06,10.5,0.420,0,up,"Bitstamp settled daily close, worst 10.5bp from $1 [archive import: scored retroactively, not a live reading]",2021-01-06,scoring
2021-01-07,110,4.400,1,up,"Bitstamp settled daily close, worst 110.0bp from $1 [archive import: scored retroactively, not a live reading]",2021-01-07,scoring
2021-01-08,6.8,0.272,0,up,"Bitstamp settled daily close, worst 6.8bp from $1 [archive import: scored retroactively, not a live reading]",2021-01-08,scoring
2021-01-09,0.7,0.028,0,up,"Bitstamp settled daily close, worst 0.7bp from $1 [archive import: scored retroactively, not a live reading]",2021-01-09,scoring
2021-01-10,9,0.360,0,up,"Bitstamp settled daily close, worst 9.0bp from $1 [archive import: scored retroactively, not a live reading]",2021-01-10,scoring
2021-01-11,2.6,0.104,0,up,"Bitstamp settled daily close, worst 2.6bp from $1 [archive import: scored retroactively, not a live reading]",2021-01-11,scoring
2021-01-12,0.1,0.004,0,up,"Bitstamp settled daily close, worst 0.1bp from $1 [archive import: scored retroactively, not a live reading]",2021-01-12,scoring
2021-01-13,6.6,0.264,0,up,"Bitstamp settled daily close, worst 6.6bp from $1 [archive import: scored retroactively, not a live reading]",2021-01-13,scoring
2021-01-14,0,0.000,0,flat,"Bitstamp settled daily close, worst 0.0bp from $1 [archive import: scored retroactively, not a live reading]",2021-01-14,scoring
